iin	V(n001)	I(Iin)
6.100000000000004e-007	4.139515e+000	6.100000e-007
6.200000000000004e-007	4.137367e+000	6.200000e-007
6.300000000000004e-007	4.135240e+000	6.300000e-007
6.400000000000004e-007	4.133131e+000	6.400000e-007
6.500000000000005e-007	4.131042e+000	6.500000e-007
6.600000000000005e-007	4.128970e+000	6.600000e-007
6.700000000000005e-007	4.126917e+000	6.700000e-007
6.800000000000005e-007	4.124882e+000	6.800000e-007
6.900000000000005e-007	4.122863e+000	6.900000e-007
7.000000000000005e-007	4.120862e+000	7.000000e-007
7.100000000000005e-007	4.118877e+000	7.100000e-007
7.200000000000005e-007	4.116908e+000	7.200000e-007
7.300000000000005e-007	4.114954e+000	7.300000e-007
7.400000000000005e-007	4.113016e+000	7.400000e-007
7.500000000000006e-007	4.111092e+000	7.500000e-007
7.600000000000006e-007	4.109183e+000	7.600000e-007
7.700000000000006e-007	4.107289e+000	7.700000e-007
7.800000000000006e-007	4.105408e+000	7.800000e-007
7.900000000000006e-007	4.103541e+000	7.900000e-007
8.000000000000006e-007	4.101687e+000	8.000000e-007
8.100000000000006e-007	4.099847e+000	8.100000e-007
8.200000000000006e-007	4.098020e+000	8.200000e-007
8.300000000000006e-007	4.096204e+000	8.300000e-007
8.400000000000006e-007	4.094402e+000	8.400000e-007
8.500000000000007e-007	4.092611e+000	8.500000e-007
8.600000000000007e-007	4.090832e+000	8.600000e-007
8.700000000000007e-007	4.089065e+000	8.700000e-007
8.800000000000007e-007	4.087310e+000	8.800000e-007
8.900000000000007e-007	4.085565e+000	8.900000e-007
9.000000000000007e-007	4.083832e+000	9.000000e-007
9.100000000000007e-007	4.082109e+000	9.100000e-007
9.200000000000007e-007	4.080397e+000	9.200000e-007
9.300000000000007e-007	4.078695e+000	9.300000e-007
9.400000000000007e-007	4.077004e+000	9.400000e-007
9.500000000000008e-007	4.075322e+000	9.500000e-007
9.600000000000008e-007	4.073651e+000	9.600000e-007
9.700000000000007e-007	4.071989e+000	9.700000e-007
9.800000000000006e-007	4.070337e+000	9.800000e-007
9.900000000000005e-007	4.068694e+000	9.900000e-007
1.000000000000000e-006	4.067060e+000	1.000000e-006
1.010000000000000e-006	4.065436e+000	1.010000e-006
1.020000000000000e-006	4.063820e+000	1.020000e-006
1.030000000000000e-006	4.062213e+000	1.030000e-006
1.040000000000000e-006	4.060615e+000	1.040000e-006
1.050000000000000e-006	4.059025e+000	1.050000e-006
1.060000000000000e-006	4.057444e+000	1.060000e-006
1.070000000000000e-006	4.055871e+000	1.070000e-006
1.080000000000000e-006	4.054307e+000	1.080000e-006
1.090000000000000e-006	4.052750e+000	1.090000e-006
1.099999999999999e-006	4.051200e+000	1.100000e-006
1.109999999999999e-006	4.049659e+000	1.110000e-006
1.119999999999999e-006	4.048126e+000	1.120000e-006
1.129999999999999e-006	4.046599e+000	1.130000e-006
1.139999999999999e-006	4.045081e+000	1.140000e-006
1.149999999999999e-006	4.043570e+000	1.150000e-006
1.159999999999999e-006	4.042066e+000	1.160000e-006
1.169999999999999e-006	4.040569e+000	1.170000e-006
1.179999999999999e-006	4.039079e+000	1.180000e-006
1.189999999999999e-006	4.037596e+000	1.190000e-006
1.199999999999999e-006	4.036120e+000	1.200000e-006
1.209999999999998e-006	4.034650e+000	1.210000e-006
1.219999999999998e-006	4.033188e+000	1.220000e-006
1.229999999999998e-006	4.031732e+000	1.230000e-006
1.239999999999998e-006	4.030282e+000	1.240000e-006
1.249999999999998e-006	4.028839e+000	1.250000e-006
1.259999999999998e-006	4.027402e+000	1.260000e-006
1.269999999999998e-006	4.025971e+000	1.270000e-006
1.279999999999998e-006	4.024547e+000	1.280000e-006
1.289999999999998e-006	4.023128e+000	1.290000e-006
1.299999999999998e-006	4.021715e+000	1.300000e-006
1.309999999999997e-006	4.020308e+000	1.310000e-006
1.319999999999997e-006	4.018908e+000	1.320000e-006
1.329999999999997e-006	4.017513e+000	1.330000e-006
1.339999999999997e-006	4.016124e+000	1.340000e-006
1.349999999999997e-006	4.014740e+000	1.350000e-006
1.359999999999997e-006	4.013362e+000	1.360000e-006
1.369999999999997e-006	4.011989e+000	1.370000e-006
1.379999999999997e-006	4.010622e+000	1.380000e-006
1.389999999999997e-006	4.009260e+000	1.390000e-006
1.399999999999997e-006	4.007904e+000	1.400000e-006
1.409999999999997e-006	4.006553e+000	1.410000e-006
1.419999999999996e-006	4.005207e+000	1.420000e-006
1.429999999999996e-006	4.003866e+000	1.430000e-006
1.439999999999996e-006	4.002530e+000	1.440000e-006
1.449999999999996e-006	4.001199e+000	1.450000e-006
1.459999999999996e-006	3.999873e+000	1.460000e-006
1.469999999999996e-006	3.998552e+000	1.470000e-006
1.479999999999996e-006	3.997236e+000	1.480000e-006
1.489999999999996e-006	3.995925e+000	1.490000e-006
1.499999999999996e-006	3.994618e+000	1.500000e-006
1.509999999999996e-006	3.993316e+000	1.510000e-006
1.519999999999995e-006	3.992019e+000	1.520000e-006
1.529999999999995e-006	3.990727e+000	1.530000e-006
1.539999999999995e-006	3.989439e+000	1.540000e-006
1.549999999999995e-006	3.988155e+000	1.550000e-006
1.559999999999995e-006	3.986876e+000	1.560000e-006
1.569999999999995e-006	3.985601e+000	1.570000e-006
1.579999999999995e-006	3.984331e+000	1.580000e-006
1.589999999999995e-006	3.983065e+000	1.590000e-006
1.599999999999995e-006	3.981803e+000	1.600000e-006
1.609999999999995e-006	3.980545e+000	1.610000e-006
1.619999999999994e-006	3.979292e+000	1.620000e-006
1.629999999999994e-006	3.978043e+000	1.630000e-006
1.639999999999994e-006	3.976798e+000	1.640000e-006
1.649999999999994e-006	3.975557e+000	1.650000e-006
1.659999999999994e-006	3.974319e+000	1.660000e-006
1.669999999999994e-006	3.973086e+000	1.670000e-006
1.679999999999994e-006	3.971857e+000	1.680000e-006
1.689999999999994e-006	3.970632e+000	1.690000e-006
1.699999999999994e-006	3.969411e+000	1.700000e-006
1.709999999999994e-006	3.968193e+000	1.710000e-006
1.719999999999994e-006	3.966980e+000	1.720000e-006
1.729999999999993e-006	3.965770e+000	1.730000e-006
1.739999999999993e-006	3.964564e+000	1.740000e-006
1.749999999999993e-006	3.963361e+000	1.750000e-006
1.759999999999993e-006	3.962162e+000	1.760000e-006
1.769999999999993e-006	3.960967e+000	1.770000e-006
1.779999999999993e-006	3.959775e+000	1.780000e-006
1.789999999999993e-006	3.958587e+000	1.790000e-006
1.799999999999993e-006	3.957403e+000	1.800000e-006
1.809999999999993e-006	3.956222e+000	1.810000e-006
1.819999999999993e-006	3.955044e+000	1.820000e-006
1.829999999999992e-006	3.953870e+000	1.830000e-006
1.839999999999992e-006	3.952699e+000	1.840000e-006
1.849999999999992e-006	3.951532e+000	1.850000e-006
1.859999999999992e-006	3.950368e+000	1.860000e-006
1.869999999999992e-006	3.949207e+000	1.870000e-006
1.879999999999992e-006	3.948050e+000	1.880000e-006
1.889999999999992e-006	3.946896e+000	1.890000e-006
1.899999999999992e-006	3.945745e+000	1.900000e-006
1.909999999999992e-006	3.944597e+000	1.910000e-006
1.919999999999992e-006	3.943452e+000	1.920000e-006
1.929999999999992e-006	3.942311e+000	1.930000e-006
1.939999999999992e-006	3.941173e+000	1.940000e-006
1.949999999999992e-006	3.940038e+000	1.950000e-006
1.959999999999991e-006	3.938906e+000	1.960000e-006
1.969999999999991e-006	3.937777e+000	1.970000e-006
1.979999999999991e-006	3.936651e+000	1.980000e-006
1.989999999999991e-006	3.935528e+000	1.990000e-006
1.999999999999991e-006	3.934407e+000	2.000000e-006
2.009999999999991e-006	3.933290e+000	2.010000e-006
2.019999999999991e-006	3.932176e+000	2.020000e-006
2.029999999999991e-006	3.931065e+000	2.030000e-006
2.039999999999991e-006	3.929957e+000	2.040000e-006
2.049999999999991e-006	3.928851e+000	2.050000e-006
2.059999999999990e-006	3.927749e+000	2.060000e-006
2.069999999999990e-006	3.926649e+000	2.070000e-006
2.079999999999990e-006	3.925552e+000	2.080000e-006
2.089999999999990e-006	3.924458e+000	2.090000e-006
2.099999999999990e-006	3.923366e+000	2.100000e-006
2.109999999999990e-006	3.922277e+000	2.110000e-006
2.119999999999990e-006	3.921191e+000	2.120000e-006
2.129999999999990e-006	3.920108e+000	2.130000e-006
2.139999999999990e-006	3.919027e+000	2.140000e-006
2.149999999999990e-006	3.917949e+000	2.150000e-006
2.159999999999990e-006	3.916873e+000	2.160000e-006
2.169999999999989e-006	3.915801e+000	2.170000e-006
2.179999999999989e-006	3.914730e+000	2.180000e-006
2.189999999999989e-006	3.913663e+000	2.190000e-006
2.199999999999989e-006	3.912598e+000	2.200000e-006
2.209999999999989e-006	3.911535e+000	2.210000e-006
2.219999999999989e-006	3.910475e+000	2.220000e-006
2.229999999999989e-006	3.909417e+000	2.230000e-006
2.239999999999989e-006	3.908362e+000	2.240000e-006
2.249999999999989e-006	3.907310e+000	2.250000e-006
2.259999999999989e-006	3.906260e+000	2.260000e-006
2.269999999999988e-006	3.905212e+000	2.270000e-006
2.279999999999988e-006	3.904166e+000	2.280000e-006
2.289999999999988e-006	3.903123e+000	2.290000e-006
2.299999999999988e-006	3.902083e+000	2.300000e-006
2.309999999999988e-006	3.901045e+000	2.310000e-006
2.319999999999988e-006	3.900009e+000	2.320000e-006
2.329999999999988e-006	3.898975e+000	2.330000e-006
2.339999999999988e-006	3.897944e+000	2.340000e-006
2.349999999999988e-006	3.896915e+000	2.350000e-006
2.359999999999988e-006	3.895888e+000	2.360000e-006
2.369999999999988e-006	3.894864e+000	2.370000e-006
2.379999999999987e-006	3.893842e+000	2.380000e-006
2.389999999999987e-006	3.892822e+000	2.390000e-006
2.399999999999987e-006	3.891804e+000	2.400000e-006
2.409999999999987e-006	3.890789e+000	2.410000e-006
2.419999999999987e-006	3.889775e+000	2.420000e-006
2.429999999999987e-006	3.888764e+000	2.430000e-006
2.439999999999987e-006	3.887755e+000	2.440000e-006
2.449999999999987e-006	3.886748e+000	2.450000e-006
2.459999999999987e-006	3.885744e+000	2.460000e-006
2.469999999999987e-006	3.884741e+000	2.470000e-006
2.479999999999986e-006	3.883741e+000	2.480000e-006
2.489999999999986e-006	3.882742e+000	2.490000e-006
2.499999999999986e-006	3.881746e+000	2.500000e-006
2.509999999999986e-006	3.880752e+000	2.510000e-006
2.519999999999986e-006	3.879760e+000	2.520000e-006
2.529999999999986e-006	3.878770e+000	2.530000e-006
2.539999999999986e-006	3.877781e+000	2.540000e-006
2.549999999999986e-006	3.876795e+000	2.550000e-006
2.559999999999986e-006	3.875811e+000	2.560000e-006
2.569999999999986e-006	3.874829e+000	2.570000e-006
2.579999999999986e-006	3.873849e+000	2.580000e-006
2.589999999999985e-006	3.872871e+000	2.590000e-006
2.599999999999985e-006	3.871895e+000	2.600000e-006
2.609999999999985e-006	3.870920e+000	2.610000e-006
2.619999999999985e-006	3.869948e+000	2.620000e-006
2.629999999999985e-006	3.868978e+000	2.630000e-006
2.639999999999985e-006	3.868009e+000	2.640000e-006
2.649999999999985e-006	3.867043e+000	2.650000e-006
2.659999999999985e-006	3.866078e+000	2.660000e-006
2.669999999999985e-006	3.865115e+000	2.670000e-006
2.679999999999985e-006	3.864154e+000	2.680000e-006
2.689999999999984e-006	3.863195e+000	2.690000e-006
2.699999999999984e-006	3.862237e+000	2.700000e-006
2.709999999999984e-006	3.861282e+000	2.710000e-006
2.719999999999984e-006	3.860328e+000	2.720000e-006
2.729999999999984e-006	3.859376e+000	2.730000e-006
2.739999999999984e-006	3.858426e+000	2.740000e-006
2.749999999999984e-006	3.857478e+000	2.750000e-006
2.759999999999984e-006	3.856531e+000	2.760000e-006
2.769999999999984e-006	3.855587e+000	2.770000e-006
2.779999999999984e-006	3.854644e+000	2.780000e-006
2.789999999999984e-006	3.853702e+000	2.790000e-006
2.799999999999983e-006	3.852763e+000	2.800000e-006
2.809999999999983e-006	3.851825e+000	2.810000e-006
2.819999999999983e-006	3.850889e+000	2.820000e-006
2.829999999999983e-006	3.849955e+000	2.830000e-006
2.839999999999983e-006	3.849022e+000	2.840000e-006
2.849999999999983e-006	3.848091e+000	2.850000e-006
2.859999999999983e-006	3.847162e+000	2.860000e-006
2.869999999999983e-006	3.846234e+000	2.870000e-006
2.879999999999983e-006	3.845308e+000	2.880000e-006
2.889999999999983e-006	3.844383e+000	2.890000e-006
2.899999999999982e-006	3.843461e+000	2.900000e-006
2.909999999999982e-006	3.842540e+000	2.910000e-006
2.919999999999982e-006	3.841620e+000	2.920000e-006
2.929999999999982e-006	3.840702e+000	2.930000e-006
2.939999999999982e-006	3.839786e+000	2.940000e-006
2.949999999999982e-006	3.838871e+000	2.950000e-006
2.959999999999982e-006	3.837958e+000	2.960000e-006
2.969999999999982e-006	3.837047e+000	2.970000e-006
2.979999999999982e-006	3.836137e+000	2.980000e-006
2.989999999999982e-006	3.835229e+000	2.990000e-006
2.999999999999981e-006	3.834322e+000	3.000000e-006
3.009999999999981e-006	3.833416e+000	3.010000e-006
3.019999999999981e-006	3.832513e+000	3.020000e-006
3.029999999999981e-006	3.831611e+000	3.030000e-006
3.039999999999981e-006	3.830710e+000	3.040000e-006
3.049999999999981e-006	3.829811e+000	3.050000e-006
3.059999999999981e-006	3.828913e+000	3.060000e-006
3.069999999999981e-006	3.828017e+000	3.070000e-006
3.079999999999981e-006	3.827122e+000	3.080000e-006
3.089999999999981e-006	3.826229e+000	3.090000e-006
3.099999999999981e-006	3.825337e+000	3.100000e-006
3.109999999999980e-006	3.824447e+000	3.110000e-006
3.119999999999980e-006	3.823558e+000	3.120000e-006
3.129999999999980e-006	3.822671e+000	3.130000e-006
3.139999999999980e-006	3.821785e+000	3.140000e-006
3.149999999999980e-006	3.820901e+000	3.150000e-006
3.159999999999980e-006	3.820018e+000	3.160000e-006
3.169999999999980e-006	3.819136e+000	3.170000e-006
3.179999999999980e-006	3.818256e+000	3.180000e-006
3.189999999999980e-006	3.817377e+000	3.190000e-006
3.199999999999980e-006	3.816499e+000	3.200000e-006
3.209999999999979e-006	3.815624e+000	3.210000e-006
3.219999999999979e-006	3.814749e+000	3.220000e-006
3.229999999999979e-006	3.813876e+000	3.230000e-006
3.239999999999979e-006	3.813004e+000	3.240000e-006
3.249999999999979e-006	3.812133e+000	3.250000e-006
3.259999999999979e-006	3.811264e+000	3.260000e-006
3.269999999999979e-006	3.810396e+000	3.270000e-006
3.279999999999979e-006	3.809530e+000	3.280000e-006
3.289999999999979e-006	3.808665e+000	3.290000e-006
3.299999999999979e-006	3.807801e+000	3.300000e-006
3.309999999999979e-006	3.806939e+000	3.310000e-006
3.319999999999978e-006	3.806078e+000	3.320000e-006
3.329999999999978e-006	3.805218e+000	3.330000e-006
3.339999999999978e-006	3.804359e+000	3.340000e-006
3.349999999999978e-006	3.803502e+000	3.350000e-006
3.359999999999978e-006	3.802646e+000	3.360000e-006
3.369999999999978e-006	3.801792e+000	3.370000e-006
3.379999999999978e-006	3.800938e+000	3.380000e-006
3.389999999999978e-006	3.800086e+000	3.390000e-006
3.399999999999978e-006	3.799236e+000	3.400000e-006
3.409999999999978e-006	3.798386e+000	3.410000e-006
3.419999999999977e-006	3.797538e+000	3.420000e-006
3.429999999999977e-006	3.796691e+000	3.430000e-006
3.439999999999977e-006	3.795845e+000	3.440000e-006
3.449999999999977e-006	3.795001e+000	3.450000e-006
3.459999999999977e-006	3.794158e+000	3.460000e-006
3.469999999999977e-006	3.793315e+000	3.470000e-006
3.479999999999977e-006	3.792475e+000	3.480000e-006
3.489999999999977e-006	3.791635e+000	3.490000e-006
3.499999999999977e-006	3.790797e+000	3.500000e-006
3.509999999999977e-006	3.789960e+000	3.510000e-006
3.519999999999977e-006	3.789124e+000	3.520000e-006
3.529999999999976e-006	3.788289e+000	3.530000e-006
3.539999999999976e-006	3.787455e+000	3.540000e-006
3.549999999999976e-006	3.786623e+000	3.550000e-006
3.559999999999976e-006	3.785792e+000	3.560000e-006
3.569999999999976e-006	3.784962e+000	3.570000e-006
3.579999999999976e-006	3.784133e+000	3.580000e-006
3.589999999999976e-006	3.783305e+000	3.590000e-006
3.599999999999976e-006	3.782479e+000	3.600000e-006
3.609999999999976e-006	3.781653e+000	3.610000e-006
3.619999999999976e-006	3.780829e+000	3.620000e-006
3.629999999999975e-006	3.780006e+000	3.630000e-006
3.639999999999975e-006	3.779184e+000	3.640000e-006
3.649999999999975e-006	3.778363e+000	3.650000e-006
3.659999999999975e-006	3.777544e+000	3.660000e-006
3.669999999999975e-006	3.776726e+000	3.670000e-006
3.679999999999975e-006	3.775908e+000	3.680000e-006
3.689999999999975e-006	3.775092e+000	3.690000e-006
3.699999999999975e-006	3.774276e+000	3.700000e-006
3.709999999999975e-006	3.773463e+000	3.710000e-006
3.719999999999975e-006	3.772650e+000	3.720000e-006
3.729999999999975e-006	3.771838e+000	3.730000e-006
3.739999999999974e-006	3.771027e+000	3.740000e-006
3.749999999999974e-006	3.770217e+000	3.750000e-006
3.759999999999974e-006	3.769409e+000	3.760000e-006
3.769999999999974e-006	3.768601e+000	3.770000e-006
3.779999999999974e-006	3.767795e+000	3.780000e-006
3.789999999999974e-006	3.766989e+000	3.790000e-006
3.799999999999974e-006	3.766185e+000	3.800000e-006
3.809999999999974e-006	3.765382e+000	3.810000e-006
3.819999999999974e-006	3.764580e+000	3.820000e-006
3.829999999999974e-006	3.763778e+000	3.830000e-006
3.839999999999973e-006	3.762979e+000	3.840000e-006
3.849999999999973e-006	3.762179e+000	3.850000e-006
3.859999999999973e-006	3.761381e+000	3.860000e-006
3.869999999999973e-006	3.760584e+000	3.870000e-006
3.879999999999973e-006	3.759789e+000	3.880000e-006
3.889999999999973e-006	3.758994e+000	3.890000e-006
3.899999999999973e-006	3.758200e+000	3.900000e-006
3.909999999999973e-006	3.757407e+000	3.910000e-006
3.919999999999973e-006	3.756615e+000	3.920000e-006
3.929999999999973e-006	3.755824e+000	3.930000e-006
3.939999999999972e-006	3.755034e+000	3.940000e-006
3.949999999999972e-006	3.754246e+000	3.950000e-006
3.959999999999972e-006	3.753458e+000	3.960000e-006
3.969999999999972e-006	3.752671e+000	3.970000e-006
3.979999999999972e-006	3.751885e+000	3.980000e-006
3.989999999999972e-006	3.751100e+000	3.990000e-006
3.999999999999972e-006	3.750316e+000	4.000000e-006
4.009999999999972e-006	3.749533e+000	4.010000e-006
4.019999999999972e-006	3.748751e+000	4.020000e-006
4.029999999999972e-006	3.747971e+000	4.030000e-006
4.039999999999972e-006	3.747190e+000	4.040000e-006
4.049999999999971e-006	3.746412e+000	4.050000e-006
4.059999999999971e-006	3.745634e+000	4.060000e-006
4.069999999999971e-006	3.744856e+000	4.070000e-006
4.079999999999971e-006	3.744080e+000	4.080000e-006
4.089999999999971e-006	3.743305e+000	4.090000e-006
4.099999999999971e-006	3.742531e+000	4.100000e-006
4.109999999999971e-006	3.741757e+000	4.110000e-006
4.119999999999971e-006	3.740985e+000	4.120000e-006
4.129999999999971e-006	3.740214e+000	4.130000e-006
4.139999999999971e-006	3.739443e+000	4.140000e-006
4.149999999999970e-006	3.738673e+000	4.150000e-006
4.159999999999970e-006	3.737905e+000	4.160000e-006
4.169999999999970e-006	3.737137e+000	4.170000e-006
4.179999999999970e-006	3.736370e+000	4.180000e-006
4.189999999999970e-006	3.735604e+000	4.190000e-006
4.199999999999970e-006	3.734839e+000	4.200000e-006
4.209999999999970e-006	3.734075e+000	4.210000e-006
4.219999999999970e-006	3.733312e+000	4.220000e-006
4.229999999999970e-006	3.732550e+000	4.230000e-006
4.239999999999970e-006	3.731788e+000	4.240000e-006
4.249999999999970e-006	3.731028e+000	4.250000e-006
4.259999999999969e-006	3.730268e+000	4.260000e-006
4.269999999999969e-006	3.729510e+000	4.270000e-006
4.279999999999969e-006	3.728752e+000	4.280000e-006
4.289999999999969e-006	3.727995e+000	4.290000e-006
4.299999999999969e-006	3.727239e+000	4.300000e-006
4.309999999999969e-006	3.726483e+000	4.310000e-006
4.319999999999969e-006	3.725729e+000	4.320000e-006
4.329999999999969e-006	3.724976e+000	4.330000e-006
4.339999999999969e-006	3.724223e+000	4.340000e-006
4.349999999999969e-006	3.723471e+000	4.350000e-006
4.359999999999968e-006	3.722720e+000	4.360000e-006
4.369999999999968e-006	3.721970e+000	4.370000e-006
4.379999999999968e-006	3.721221e+000	4.380000e-006
4.389999999999968e-006	3.720473e+000	4.390000e-006
4.399999999999968e-006	3.719725e+000	4.400000e-006
4.409999999999968e-006	3.718978e+000	4.410000e-006
4.419999999999968e-006	3.718233e+000	4.420000e-006
4.429999999999968e-006	3.717488e+000	4.430000e-006
4.439999999999968e-006	3.716743e+000	4.440000e-006
4.449999999999968e-006	3.716000e+000	4.450000e-006
4.459999999999968e-006	3.715258e+000	4.460000e-006
4.469999999999967e-006	3.714516e+000	4.470000e-006
4.479999999999967e-006	3.713775e+000	4.480000e-006
4.489999999999967e-006	3.713035e+000	4.490000e-006
4.499999999999967e-006	3.712296e+000	4.500000e-006
4.509999999999967e-006	3.711558e+000	4.510000e-006
4.519999999999967e-006	3.710820e+000	4.520000e-006
4.529999999999967e-006	3.710083e+000	4.530000e-006
4.539999999999967e-006	3.709347e+000	4.540000e-006
4.549999999999967e-006	3.708612e+000	4.550000e-006
4.559999999999967e-006	3.707878e+000	4.560000e-006
4.569999999999966e-006	3.707144e+000	4.570000e-006
4.579999999999966e-006	3.706411e+000	4.580000e-006
4.589999999999966e-006	3.705679e+000	4.590000e-006
4.599999999999966e-006	3.704948e+000	4.600000e-006
4.609999999999966e-006	3.704217e+000	4.610000e-006
4.619999999999966e-006	3.703488e+000	4.620000e-006
4.629999999999966e-006	3.702759e+000	4.630000e-006
4.639999999999966e-006	3.702031e+000	4.640000e-006
4.649999999999966e-006	3.701303e+000	4.650000e-006
4.659999999999966e-006	3.700577e+000	4.660000e-006
4.669999999999966e-006	3.699851e+000	4.670000e-006
4.679999999999965e-006	3.699126e+000	4.680000e-006
4.689999999999965e-006	3.698402e+000	4.690000e-006
4.699999999999965e-006	3.697679e+000	4.700000e-006
4.709999999999965e-006	3.696956e+000	4.710000e-006
4.719999999999965e-006	3.696234e+000	4.720000e-006
4.729999999999965e-006	3.695513e+000	4.730000e-006
4.739999999999965e-006	3.694792e+000	4.740000e-006
4.749999999999965e-006	3.694072e+000	4.750000e-006
4.759999999999965e-006	3.693353e+000	4.760000e-006
4.769999999999965e-006	3.692635e+000	4.770000e-006
4.779999999999964e-006	3.691918e+000	4.780000e-006
4.789999999999964e-006	3.691201e+000	4.790000e-006
4.799999999999964e-006	3.690485e+000	4.800000e-006
4.809999999999964e-006	3.689770e+000	4.810000e-006
4.819999999999964e-006	3.689055e+000	4.820000e-006
4.829999999999964e-006	3.688341e+000	4.830000e-006
4.839999999999964e-006	3.687628e+000	4.840000e-006
4.849999999999964e-006	3.686916e+000	4.850000e-006
4.859999999999964e-006	3.686204e+000	4.860000e-006
4.869999999999964e-006	3.685493e+000	4.870000e-006
4.879999999999963e-006	3.684783e+000	4.880000e-006
4.889999999999963e-006	3.684073e+000	4.890000e-006
4.899999999999963e-006	3.683365e+000	4.900000e-006
4.909999999999963e-006	3.682657e+000	4.910000e-006
4.919999999999963e-006	3.681949e+000	4.920000e-006
4.929999999999963e-006	3.681242e+000	4.930000e-006
4.939999999999963e-006	3.680537e+000	4.940000e-006
4.949999999999963e-006	3.679831e+000	4.950000e-006
4.959999999999963e-006	3.679127e+000	4.960000e-006
4.969999999999963e-006	3.678423e+000	4.970000e-006
4.979999999999963e-006	3.677720e+000	4.980000e-006
4.989999999999962e-006	3.677017e+000	4.990000e-006
4.999999999999962e-006	3.676316e+000	5.000000e-006
5.009999999999962e-006	3.675614e+000	5.010000e-006
5.019999999999962e-006	3.674914e+000	5.020000e-006
5.029999999999962e-006	3.674214e+000	5.030000e-006
5.039999999999962e-006	3.673515e+000	5.040000e-006
5.049999999999962e-006	3.672817e+000	5.050000e-006
5.059999999999962e-006	3.672119e+000	5.060000e-006
5.069999999999962e-006	3.671422e+000	5.070000e-006
5.079999999999962e-006	3.670726e+000	5.080000e-006
5.089999999999961e-006	3.670030e+000	5.090000e-006
5.099999999999961e-006	3.669335e+000	5.100000e-006
5.109999999999961e-006	3.668641e+000	5.110000e-006
5.119999999999961e-006	3.667947e+000	5.120000e-006
5.129999999999961e-006	3.667254e+000	5.130000e-006
5.139999999999961e-006	3.666562e+000	5.140000e-006
5.149999999999961e-006	3.665870e+000	5.150000e-006
5.159999999999961e-006	3.665179e+000	5.160000e-006
